year,aid,medal,eid,dname
1900,496,Bronze,139,Tennis
1900,497,Gold,139,Tennis
1900,498,Silver,139,Tennis
1900,499,Gold,652,Tug of War
1900,500,Gold,652,Tug of War
1900,501,Gold,652,Tug of War
1900,502,Gold,652,Tug of War
1900,503,Gold,652,Tug of War
1900,504,Gold,652,Tug of War
1900,505,Silver,652,Tug of War
1900,387,Silver,652,Tug of War
1900,390,Silver,652,Tug of War
1900,391,Silver,652,Tug of War
1900,506,Silver,652,Tug of War
1900,400,Silver,652,Tug of War
1904,507,Bronze,664,Diving
1904,508,Bronze,664,Diving
1904,509,Gold,664,Diving
1904,510,Silver,664,Diving
1904,511,Bronze,668,Diving
1904,512,Gold,668,Diving
1904,513,Silver,668,Diving
1904,514,Bronze,671,Swimming
1904,515,Gold,671,Swimming
1904,510,Silver,671,Swimming
1904,516,Bronze,1,Swimming
1904,95,Gold,1,Swimming
1904,517,Silver,1,Swimming
1904,518,Bronze,152,Swimming
1904,519,Gold,152,Swimming
1904,520,Silver,152,Swimming
1904,519,Bronze,158,Swimming
1904,517,Gold,158,Swimming
1904,518,Silver,158,Swimming
1904,521,Bronze,683,Swimming
1904,514,Gold,683,Swimming
1904,515,Silver,683,Swimming
1904,97,Bronze,9,Swimming
1904,517,Gold,9,Swimming
1904,518,Silver,9,Swimming
1904,522,Bronze,689,Swimming
1904,523,Bronze,689,Swimming
1904,524,Bronze,689,Swimming
1904,525,Bronze,689,Swimming
1904,517,Gold,689,Swimming
1904,511,Gold,689,Swimming
1904,526,Gold,689,Swimming
1904,527,Gold,689,Swimming
1904,528,Silver,689,Swimming
1904,529,Silver,689,Swimming
1904,530,Silver,689,Swimming
1904,531,Silver,689,Swimming
1904,517,Bronze,701,Swimming
1904,95,Gold,701,Swimming
1904,516,Silver,701,Swimming
1904,520,Bronze,704,Swimming
1904,519,Gold,704,Swimming
1904,518,Silver,704,Swimming
1904,532,Bronze,707,Archery
1904,533,Gold,707,Archery
1904,534,Silver,707,Archery
1904,535,Bronze,710,Archery
1904,536,Gold,710,Archery
1904,537,Silver,710,Archery
1904,535,Bronze,713,Archery
1904,536,Gold,713,Archery
1904,537,Silver,713,Archery
1904,532,Bronze,716,Archery
1904,533,Gold,716,Archery
1904,534,Silver,716,Archery
1904,533,Bronze,719,Archery
1904,538,Bronze,719,Archery
1904,539,Bronze,719,Archery
1904,540,Bronze,719,Archery
1904,541,Gold,719,Archery
1904,542,Gold,719,Archery
1904,532,Gold,719,Archery
1904,534,Gold,719,Archery
1904,543,Silver,719,Archery
1904,544,Silver,719,Archery
1904,545,Silver,719,Archery
1904,546,Silver,719,Archery
1904,536,Gold,731,Archery
1904,535,Gold,731,Archery
1904,547,Gold,731,Archery
1904,548,Gold,731,Archery
1904,537,Silver,731,Archery
1904,549,Silver,731,Archery
1904,550,Bronze,12,Athletics
1904,551,Gold,12,Athletics
1904,552,Silver,12,Athletics
1904,553,Bronze,16,Athletics
1904,554,Gold,16,Athletics
1904,555,Silver,16,Athletics
1904,556,Bronze,18,Athletics
1904,557,Gold,18,Athletics
1904,558,Silver,18,Athletics
1904,550,Bronze,240,Athletics
1904,551,Gold,240,Athletics
1904,552,Silver,240,Athletics
1904,559,Bronze,243,Athletics
1904,560,Gold,243,Athletics
1904,561,Silver,243,Athletics
1904,562,Bronze,246,Athletics
1904,557,Gold,246,Athletics
1904,563,Silver,246,Athletics
1904,564,Bronze,21,Athletics
1904,560,Gold,21,Athletics
1904,565,Silver,21,Athletics
1904,559,Bronze,255,Athletics
1904,560,Gold,255,Athletics
1904,565,Silver,255,Athletics
1904,566,Gold,761,Athletics
1904,562,Gold,761,Athletics
1904,567,Gold,761,Athletics
1904,568,Gold,761,Athletics
1904,569,Gold,761,Athletics
1904,570,Silver,761,Athletics
1904,571,Silver,761,Athletics
1904,556,Silver,761,Athletics
1904,557,Silver,761,Athletics
1904,558,Silver,761,Athletics
1904,572,Bronze,771,Athletics
1904,573,Gold,771,Athletics
1904,186,Silver,771,Athletics
1904,574,Bronze,268,Athletics
1904,551,Gold,268,Athletics
1904,550,Silver,268,Athletics
1904,575,Bronze,24,Athletics
1904,557,Gold,24,Athletics
1904,569,Silver,24,Athletics
1904,187,Bronze,780,Athletics
1904,576,Gold,780,Athletics
1904,577,Silver,780,Athletics
1904,578,Bronze,27,Athletics
1904,579,Gold,27,Athletics
1904,580,Silver,27,Athletics
1904,580,Bronze,277,Athletics
1904,186,Gold,277,Athletics
1904,581,Silver,277,Athletics
1904,582,Bronze,30,Athletics
1904,583,Gold,30,Athletics
1904,584,Silver,30,Athletics
1904,585,Bronze,283,Athletics
1904,192,Gold,283,Athletics
1904,586,Silver,283,Athletics
1904,587,Bronze,33,Athletics
1904,193,Gold,33,Athletics
1904,588,Silver,33,Athletics
1904,589,Bronze,289,Athletics
1904,192,Gold,289,Athletics
1904,590,Silver,289,Athletics
1904,562,Bronze,36,Athletics
1904,591,Gold,36,Athletics
1904,570,Silver,36,Athletics
1904,592,Bronze,39,Athletics
1904,593,Gold,39,Athletics
1904,594,Silver,39,Athletics
1904,595,Bronze,43,Athletics
1904,580,Gold,43,Athletics
1904,596,Silver,43,Athletics
1904,597,Bronze,810,Athletics
1904,598,Gold,810,Athletics
1904,599,Silver,810,Athletics
1904,587,Bronze,46,Athletics
1904,193,Gold,46,Athletics
1904,600,Silver,46,Athletics
1904,586,Bronze,304,Athletics
1904,192,Gold,304,Athletics
1904,590,Silver,304,Athletics
1904,601,Gold,819,Boxing
1904,602,Silver,819,Boxing
1904,603,Bronze,821,Boxing
1904,604,Gold,821,Boxing
1904,605,Silver,821,Boxing
1904,606,Gold,824,Boxing
1904,601,Silver,824,Boxing
1904,607,Bronze,826,Boxing
1904,606,Gold,826,Boxing
1904,608,Silver,826,Boxing
1904,609,Bronze,829,Boxing
1904,610,Gold,829,Boxing
1904,611,Silver,829,Boxing
1904,611,Bronze,832,Boxing
1904,612,Bronze,832,Boxing
1904,613,Gold,832,Boxing
1904,610,Silver,832,Boxing
1904,605,Gold,836,Boxing
1904,614,Silver,836,Boxing
1904,615,Bronze,838,Cycling Track
1904,616,Gold,838,Cycling Track
1904,617,Silver,838,Cycling Track
1904,617,Bronze,841,Cycling Track
1904,616,Gold,841,Cycling Track
1904,615,Silver,841,Cycling Track
1904,615,Bronze,844,Cycling Track
1904,616,Gold,844,Cycling Track
1904,617,Silver,844,Cycling Track
1904,615,Bronze,847,Cycling Track
1904,616,Gold,847,Cycling Track
1904,617,Silver,847,Cycling Track
1904,616,Bronze,850,Cycling Track
